Date,cost-per-transaction,fees-usd-per-transaction,hash-rate,mvrv,n-payments-per-block,n-transactions-per-block,n-unique-addresses,nvt,nvts,trade-volume
2023-02-16,82.072751443802,2.2329907457099423,304363004.7688963,1.1817043414350452,4230.54748603352,1925.7597765363128,759215.0,24.70382840769767,27.073342555846374,220668433.44129997
2023-02-17,79.16379308557043,1.9808994262349455,308866349.92253816,1.233649370889696,4492.333333333333,1947.030303030303,716489.0,19.21413785859439,28.067338340682035,272640921.5391
2023-02-18,95.17196525804367,1.7744560636130684,313668486.0102331,1.2389012624696631,3929.8869047619046,1647.607142857143,656568.0,20.193952956303065,28.08503097321002,231598030.6827
2023-02-19,106.21089029723463,1.5794125828920809,318745926.9112872,1.2407098126714537,3515.1666666666665,1483.9876543209878,569883.0,31.014080532597532,28.6692165403589,54627731.1084
2023-02-20,84.7809750536612,1.6528721182446073,318943865.6800067,1.238017195584,4106.707482993197,1837.2857142857142,615969.0,36.720217252069304,28.772014449886377,117271774.531
2023-02-21,90.15877298755481,1.4672128456804827,316441254.70256984,1.247165176505729,3859.9580838323354,1739.2634730538923,654981.0,28.24321006520986,29.28193758148714,149930479.7991
2023-02-22,76.04434816308223,1.5684228799804827,320056137.22553414,1.236478430638631,4741.328571428571,2016.5642857142857,660490.0,24.835418902687458,29.101311077678652,219179698.137
2023-02-23,91.08363598521683,1.5782041653985959,313660575.83875114,1.2131529646724981,4122.023391812865,1700.1637426900584,693262.0,23.124778520984965,28.641476565260863,182405179.00289997
2023-02-24,69.31456435301277,1.4845531838870931,311436032.7476961,1.2116984494418925,5356.414814814815,2181.9407407407407,695824.0,22.62316583256198,28.472804425153807,188019870.363
2023-02-25,61.25713691479184,1.4215247806536666,303093996.15624,1.1901112976223784,5993.205607476635,2415.07476635514,626600.0,22.6329608121411,27.95838167069811,179314668.7148
2023-02-26,89.43389450503219,1.2650998691025357,288927289.7839046,1.165233036076677,3773.2976190476193,1649.422619047619,628404.0,32.40463863019909,27.283472901319346,70867115.51679999
2023-02-27,72.02849223142245,1.8097437066620463,295245529.07337487,1.1758681058726241,4660.8,2091.057142857143,644967.0,34.295313967302945,27.547114139558335,93067686.8292
2023-02-28,62.07395645891807,1.8166623664033659,297173913.84468424,1.1812975403096557,5413.459854014599,2425.970802919708,731797.0,30.661660634428856,27.706012842766548,135375663.225
2023-03-01,67.45394292428612,1.5944955339398508,292623704.5154395,1.1840198893182576,4989.358823529412,2246.6588235294116,826824.0,25.23208038495592,27.67732723744264,98710196.70199999
2023-03-02,65.6195518461127,1.6989587184672492,305670928.2205887,1.1894606483425059,5239.541666666667,2291.9930555555557,726383.0,22.246623915422173,27.71911514940131,132061005.97919999
